                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4064,                 1.5779,                  1.475,                0.38644,                0.69091,                0.35683,                0.17707,                 1.5133,                 20.095,                 1.8579,             0.00065116,             0.00065116,             0.00065116
                      2,                 1.4543,                0.99511,                 1.4719,                0.13438,                0.17576,                0.06546,                0.01726,                 2.8085,                 12.459,                 3.6776,              0.0013048,              0.0013048,              0.0013048
                      3,                 1.4484,                0.99483,                 1.4688,                0.46983,                0.36364,                0.27605,                0.10578,                 2.2768,                  8.594,                 2.4141,              0.0019452,              0.0019452,              0.0019452
                      4,                 1.3887,                0.89734,                 1.4323,                0.36019,                0.58788,                0.38934,                0.15398,                 2.0473,                 8.1208,                 2.1008,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3238,                 0.8857,                  1.423,                0.83237,                0.73939,                0.81706,                0.42194,                 1.6125,                 3.0317,                 1.7657,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.303,                0.83288,                 1.3842,                0.94717,                0.86667,                0.94158,                0.55776,                  1.466,                 1.7816,                 1.6361,               0.001901,               0.001901,               0.001901
                      7,                 1.3053,                 0.8422,                 1.4045,                0.91057,                0.90303,                0.92301,                0.55418,                 1.5831,                 2.5906,                 1.6907,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2284,                0.77628,                 1.3293,                0.91808,                0.78182,                 0.8827,                0.54794,                 1.3238,                 1.3373,                 1.4262,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2645,                0.78454,                  1.367,                0.91052,                0.89697,                0.95194,                 0.5708,                 1.4967,                0.93191,                 1.6036,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1943,                0.72879,                 1.3141,                0.86066,                0.82358,                0.87904,                0.51437,                 1.4984,                 1.2444,                 1.5414,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.181,                0.71087,                 1.3153,                0.95853,                0.94545,                0.97716,                0.64251,                 1.2458,                0.66635,                 1.3431,               0.001802,               0.001802,               0.001802
                     12,                 1.1762,                0.71665,                 1.3069,                  0.884,                0.91515,                0.94767,                0.59709,                 1.3216,                0.87245,                   1.47,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1941,                0.70583,                 1.3288,                0.95551,                0.91116,                0.97723,                0.62421,                  1.383,                0.85656,                 1.4276,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1359,                0.66383,                 1.2794,                0.93842,                 0.9236,                0.97153,                0.61671,                 1.3808,                0.76717,                 1.4457,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1551,                0.68225,                 1.2844,                0.86966,                  0.647,                 0.7396,                0.45356,                 1.6637,                  1.488,                 1.5427,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1328,                0.65651,                 1.2831,                 0.9411,                0.92121,                0.94089,                0.65787,                 1.2565,                0.67697,                 1.3729,               0.001703,               0.001703,               0.001703
                     17,                 1.1384,                0.66726,                 1.2916,                0.96016,                0.94545,                0.97242,                0.63028,                  1.317,                 0.7255,                 1.4138,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1019,                0.63674,                 1.2537,                0.96003,                0.92121,                0.96812,                0.63914,                 1.2433,                0.64447,                 1.4321,              0.0016634,              0.0016634,              0.0016634
