                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8027,                0.43031,                 1.0161,                0.98375,                0.93129,                0.97713,                0.74371,                0.75414,                0.35445,                0.86583,             0.00065812,             0.00065812,             0.00065812
                      2,                0.79604,                0.43181,                 1.0158,                 0.9737,                0.94927,                0.97099,                 0.7385,                0.77295,                0.38355,                0.86856,              0.0013117,              0.0013117,              0.0013117
                      3,                0.84693,                  0.468,                 1.0346,                0.97096,                0.93333,                0.96276,                0.71744,                0.82783,                 0.4751,                0.88185,               0.001952,               0.001952,               0.001952
                      4,                0.88494,                0.48928,                 1.0477,                0.96452,                0.93333,                0.95705,                0.70359,                0.82747,                0.98646,                0.88317,              0.0019406,              0.0019406,              0.0019406
                      5,                0.88746,                0.49571,                 1.0534,                 0.9778,                0.91795,                0.95587,                 0.6985,                 0.8344,                0.80821,                0.89575,              0.0019208,              0.0019208,              0.0019208
                      6,                0.91356,                0.51241,                  1.061,                0.98711,                0.90256,                0.95569,                 0.6851,                0.84101,                0.94681,                0.90958,               0.001901,               0.001901,               0.001901
                      7,                0.90943,                0.50269,                 1.0629,                0.97364,                0.94697,                0.97009,                0.70486,                0.84227,                 0.4402,                0.89393,              0.0018812,              0.0018812,              0.0018812
                      8,                0.90775,                0.50808,                  1.058,                0.97708,                0.92308,                0.96593,                0.71065,                0.84063,                 1.0996,                0.90553,              0.0018614,              0.0018614,              0.0018614
                      9,                0.89108,                0.49332,                 1.0624,                0.97809,                0.91795,                 0.9747,                 0.7101,                0.82826,                0.40454,                 0.8923,              0.0018416,              0.0018416,              0.0018416
                     10,                0.89967,                 0.5135,                 1.0568,                0.96761,                0.91915,                0.96384,                0.70697,                0.82409,                0.50374,                0.91951,              0.0018218,              0.0018218,              0.0018218
                     11,                0.90089,                 0.5022,                 1.0604,                0.97813,                0.91725,                0.96769,                0.70826,                0.82794,                0.50761,                0.89883,               0.001802,               0.001802,               0.001802
                     12,                0.88368,                0.50296,                 1.0571,                0.96774,                0.92292,                0.96155,                 0.6833,                0.86308,                0.53983,                 0.9112,              0.0017822,              0.0017822,              0.0017822
                     13,                 0.9032,                0.50481,                 1.0731,                0.97337,                0.93727,                0.97241,                0.71847,                0.83415,                0.39636,                0.89003,              0.0017624,              0.0017624,              0.0017624
                     14,                0.89226,                0.49726,                 1.0639,                0.96848,                0.94552,                0.96617,                0.73028,                0.82729,                0.38314,                0.89991,              0.0017426,              0.0017426,              0.0017426
                     15,                0.87685,                0.48511,                 1.0597,                0.96984,                0.91282,                0.96203,                0.70296,                0.82076,                 0.4119,                0.88783,              0.0017228,              0.0017228,              0.0017228
                     16,                0.85894,                0.48232,                 1.0465,                0.98145,                0.91282,                0.96214,                0.71545,                0.80789,                0.39339,                 0.8838,               0.001703,               0.001703,               0.001703
                     17,                0.88047,                0.49098,                 1.0464,                0.76859,                0.94359,                0.88086,                0.66376,                0.77496,                0.76029,                0.87095,              0.0016832,              0.0016832,              0.0016832
                     18,                0.86672,                0.48043,                 1.0395,                0.97836,                0.92725,                0.97373,                0.72099,                0.82456,                0.41876,                 0.8943,              0.0016634,              0.0016634,              0.0016634
                     19,                0.86855,                0.48627,                 1.0588,                 0.9697,                0.95897,                0.97371,                0.70954,                0.79116,                 0.5579,                0.89033,              0.0016436,              0.0016436,              0.0016436
                     20,                0.86993,                0.48965,                  1.059,                0.97835,                0.93333,                0.97237,                0.72143,                 0.8237,                0.38976,                0.89257,              0.0016238,              0.0016238,              0.0016238
                     21,                0.88355,                0.49669,                 1.0451,                0.98859,                0.93846,                0.96503,                 0.7097,                0.79868,                 1.7771,                0.87613,               0.001604,               0.001604,               0.001604
                     22,                0.86623,                0.47229,                 1.0462,                0.98912,                0.93238,                0.97406,                0.71951,                0.81707,                0.37044,                0.88422,              0.0015842,              0.0015842,              0.0015842
                     23,                0.84949,                0.46975,                 1.0394,                0.96971,                0.95385,                0.97501,                0.73337,                0.78751,                0.36621,                0.87399,              0.0015644,              0.0015644,              0.0015644
                     24,                0.84642,                0.47134,                 1.0362,                 0.9762,                0.93333,                0.97512,                0.72631,                0.79495,                0.54232,                0.86803,              0.0015446,              0.0015446,              0.0015446
                     25,                 0.8504,                0.46717,                 1.0338,                0.99449,                0.92512,                0.98235,                0.71229,                0.82605,                0.40073,                0.88283,              0.0015248,              0.0015248,              0.0015248
                     26,                0.84546,                0.46226,                 1.0374,                0.73691,                0.96242,                0.81717,                0.60945,                0.84465,                 0.5591,                 0.9082,               0.001505,               0.001505,               0.001505
                     27,                0.84952,                0.45808,                 1.0317,                0.98404,                0.94872,                0.97414,                  0.743,                0.78852,                0.39537,                0.87191,              0.0014852,              0.0014852,              0.0014852
                     28,                0.84772,                0.45972,                 1.0382,                0.98926,                0.93333,                0.97672,                0.72448,                0.82552,                0.39475,                0.89419,              0.0014654,              0.0014654,              0.0014654
                     29,                0.85914,                0.46547,                 1.0411,                0.98906,                0.92739,                0.98175,                0.72994,                0.82183,                0.38187,                0.88734,              0.0014456,              0.0014456,              0.0014456
                     30,                0.82643,                0.45791,                 1.0287,                0.97375,                 0.9513,                0.97339,                0.72765,                0.79961,                 0.3763,                0.88254,              0.0014258,              0.0014258,              0.0014258
                     31,                0.81753,                0.45797,                 1.0203,                0.96914,                0.96618,                0.97607,                 0.7381,                0.79382,                0.36118,                 0.8641,               0.001406,               0.001406,               0.001406
                     32,                0.82894,                0.46163,                 1.0332,                0.98916,                0.93589,                0.97296,                0.74491,                0.78871,                0.37029,                0.87743,              0.0013862,              0.0013862,              0.0013862
                     33,                0.85674,                  0.466,                  1.038,                0.99196,                0.92821,                0.97477,                0.74269,                0.78502,                0.35524,                0.87119,              0.0013664,              0.0013664,              0.0013664
                     34,                0.83201,                0.45013,                 1.0214,                0.97178,                0.94359,                 0.9809,                0.73402,                0.80358,                0.38568,                0.87727,              0.0013466,              0.0013466,              0.0013466
                     35,                0.83473,                0.45132,                 1.0341,                0.97331,                0.93333,                0.97407,                0.73728,                0.80464,                0.37065,                0.89402,              0.0013268,              0.0013268,              0.0013268
                     36,                0.82399,                0.44439,                  1.034,                0.97097,                0.95385,                0.97615,                0.74415,                0.75353,                0.35492,                0.86191,               0.001307,               0.001307,               0.001307
                     37,                 0.8039,                 0.4447,                 1.0209,                0.97269,                0.94359,                0.98154,                0.73451,                 0.8041,                0.36243,                0.88003,              0.0012872,              0.0012872,              0.0012872
                     38,                0.82011,                0.44279,                 1.0274,                0.98603,                0.92308,                0.97118,                0.74017,                0.80969,                0.38274,                 0.8889,              0.0012674,              0.0012674,              0.0012674
                     39,                0.79993,                0.43982,                 1.0141,                0.98339,                0.93333,                0.96853,                0.73602,                0.82181,                0.40952,                0.88832,              0.0012476,              0.0012476,              0.0012476
                     40,                0.83339,                0.44656,                 1.0238,                0.98686,                0.94359,                0.96934,                0.73736,                0.83891,                0.38193,                0.89326,              0.0012278,              0.0012278,              0.0012278
                     41,                0.81591,                0.44139,                 1.0257,                0.99459,                0.94305,                0.97696,                0.73415,                0.80331,                0.37966,                 0.8918,               0.001208,               0.001208,               0.001208
                     42,                0.80027,                0.44244,                 1.0196,                0.99892,                0.93333,                0.98488,                0.74851,                0.75385,                0.35609,                0.85754,              0.0011882,              0.0011882,              0.0011882
                     43,                0.80167,                0.42533,                 1.0271,                0.98079,                0.94359,                0.97936,                0.73563,                0.77089,                0.37107,                0.86444,              0.0011684,              0.0011684,              0.0011684
