                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4729,                 1.9141,                 1.3166,                0.63557,                0.52308,                0.59577,                0.35573,                 1.4104,                 1.8244,                 1.0993,             0.00064957,             0.00064957,             0.00064957
                      2,                 1.3687,                 1.1227,                 1.2311,                0.71488,                0.60433,                0.65512,                0.38316,                 1.4974,                  1.584,                 1.2355,              0.0013032,              0.0013032,              0.0013032
                      3,                  1.363,                  1.061,                 1.2285,                0.14021,                0.66667,                0.19067,                0.10752,                  1.505,                 7.2784,                 1.3012,              0.0019436,              0.0019436,              0.0019436
                      4,                 1.3652,                 1.0262,                 1.2416,                0.45002,                0.67139,                0.60561,                0.35958,                 1.5117,                 2.6252,                 1.3593,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3411,                0.95703,                 1.2168,                0.90966,                0.82618,                0.90034,                0.54742,                 1.3621,                0.98703,                 1.2602,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3208,                0.90036,                 1.2116,                0.86591,                0.82791,                0.88378,                 0.5265,                 1.3721,                0.94427,                 1.2416,               0.001901,               0.001901,               0.001901
                      7,                 1.2691,                 0.8632,                 1.1894,                0.77177,                0.55494,                 0.6233,                0.37416,                  1.696,                 1.5713,                  1.438,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2368,                0.84369,                 1.1926,                0.84197,                0.86667,                0.87951,                 0.5528,                 1.2511,                0.84491,                 1.1709,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2333,                 0.7983,                 1.1769,                0.83401,                0.87692,                0.91372,                0.59923,                 1.1978,                0.78516,                 1.1327,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2454,                0.81191,                 1.1801,                0.48833,                0.68205,                0.60527,                  0.348,                   1.53,                 1.5251,                 1.3339,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.209,                0.78183,                 1.1711,                0.92004,                0.91282,                0.94633,                0.60443,                 1.2557,                 0.7288,                 1.1694,               0.001802,               0.001802,               0.001802
                     12,                 1.1795,                0.74289,                 1.1537,                0.95498,                0.87025,                0.94883,                0.61134,                 1.1691,                0.65967,                 1.1166,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1778,                0.74411,                 1.1605,                0.96175,                0.88205,                0.94945,                0.63083,                 1.1548,                0.66027,                 1.1295,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.147,                0.72667,                 1.1484,                0.93913,                0.87026,                0.93832,                0.60198,                 1.2583,                0.76017,                 1.1492,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.186,                 0.7206,                  1.158,                 0.9441,                0.89231,                0.93849,                0.63604,                  1.221,                 0.6873,                  1.138,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1701,                0.70407,                 1.1479,                0.97222,                0.90256,                0.96464,                 0.6515,                  1.134,                0.60404,                 1.0966,               0.001703,               0.001703,               0.001703
                     17,                 1.1249,                0.68032,                 1.1246,                0.95215,                0.91282,                 0.9455,                 0.6234,                 1.1135,                0.63222,                 1.0753,              0.0016832,              0.0016832,              0.0016832
                     18,                    1.1,                0.67502,                 1.1075,                0.95052,                0.88667,                0.94869,                0.60555,                 1.1758,                 0.6578,                 1.1057,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1231,                 0.6772,                 1.1274,                0.97803,                0.91323,                 0.9619,                0.66012,                 1.1539,                0.60611,                 1.0983,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1231,                0.68146,                 1.1325,                0.96555,                0.86238,                0.91648,                0.62011,                 1.1575,                0.94717,                 1.1036,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1146,                0.69013,                 1.1259,                0.93032,                0.87692,                0.93749,                 0.6233,                 1.2617,                0.80061,                 1.1834,               0.001604,               0.001604,               0.001604
                     22,                 1.1191,                0.66911,                 1.1233,                0.96052,                0.91282,                0.96619,                0.62644,                 1.1743,                0.57477,                 1.1023,              0.0015842,              0.0015842,              0.0015842
                     23,                  1.088,                0.64511,                  1.118,                0.94012,                0.88567,                 0.9452,                0.62455,                 1.1337,                0.62441,                  1.089,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0978,                0.66802,                 1.1084,                0.96958,                0.91795,                  0.955,                0.63204,                 1.1262,                0.57991,                 1.0868,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.0949,                0.64919,                 1.1099,                0.94762,                0.81538,                0.92749,                0.63295,                 1.0946,                0.87017,                 1.0715,              0.0015248,              0.0015248,              0.0015248
                     26,                  1.092,                0.64313,                 1.1058,                0.96913,                0.85128,                0.92555,                0.62015,                 1.0984,                0.74567,                 1.0848,               0.001505,               0.001505,               0.001505
