                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.92408,                0.51189,                 1.0787,                0.72375,                0.94047,                0.90323,                0.68218,                0.80819,                0.57917,                0.87462,               0.001307,               0.001307,               0.001307
                     37,                0.91903,                0.51696,                 1.0723,                0.99453,                0.93233,                 0.9818,                0.71168,                0.83071,                0.39739,                 0.8926,              0.0012872,              0.0012872,              0.0012872
                     38,                0.91554,                0.50628,                 1.0689,                0.99747,                0.92308,                0.97207,                0.72265,                0.85671,                0.40654,                0.90161,              0.0012674,              0.0012674,              0.0012674
                     39,                0.90668,                0.50971,                 1.0633,                0.98178,                0.90769,                0.96259,                0.72309,                0.79972,                0.43574,                 0.8751,              0.0012476,              0.0012476,              0.0012476
                     40,                0.93549,                0.51114,                   1.07,                0.97835,                0.92713,                0.95552,                0.69813,                0.85135,                 1.5245,                0.89703,              0.0012278,              0.0012278,              0.0012278
                     41,                0.91143,                0.51114,                 1.0702,                      1,                0.93097,                0.97478,                0.71309,                0.83504,                0.40341,                0.90246,               0.001208,               0.001208,               0.001208
                     42,                0.89864,                0.51134,                 1.0676,                0.97239,                0.95897,                0.98018,                0.71813,                0.80272,                0.36962,                0.86767,              0.0011882,              0.0011882,              0.0011882
                     43,                0.91132,                0.49889,                 1.0842,                0.82652,                0.90402,                0.84667,                0.63419,                0.79549,                0.48367,                0.87333,              0.0011684,              0.0011684,              0.0011684
                     44,                0.88806,                0.49208,                 1.0536,                0.98615,                0.92308,                0.97996,                0.73628,                0.78546,                0.37794,                0.86985,              0.0011486,              0.0011486,              0.0011486
                     45,                    0.9,                0.49714,                 1.0686,                0.99441,                0.91201,                0.96715,                0.72404,                0.78789,                0.39244,                0.88292,              0.0011288,              0.0011288,              0.0011288
                     46,                0.89873,                0.48618,                 1.0597,                0.98366,                0.92632,                 0.9695,                 0.7187,                0.81724,                0.38811,                0.90296,               0.001109,               0.001109,               0.001109
                     47,                0.90516,                0.50266,                 1.0646,                0.98738,                0.94359,                0.97867,                0.72448,                0.79324,                0.38148,                0.87159,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.8835,                0.49062,                  1.054,                0.98371,                0.91795,                0.96964,                0.73587,                0.79189,                0.37788,                0.86257,              0.0010694,              0.0010694,              0.0010694
                     49,                0.86657,                0.47782,                 1.0438,                0.98368,                0.92742,                0.96962,                0.73172,                0.77824,                0.41203,                0.86403,              0.0010496,              0.0010496,              0.0010496
                     50,                0.87791,                0.48729,                 1.0499,                0.96799,                 0.9305,                0.96953,                0.72184,                0.80694,                0.38246,                0.88293,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.8522,                0.47357,                 1.0395,                 0.9891,                 0.9303,                0.97927,                0.72848,                0.78592,                0.37096,                0.87302,                0.00101,                0.00101,                0.00101
                     52,                0.86194,                0.46681,                 1.0451,                0.98913,                0.92821,                0.97461,                0.73992,                0.78894,                0.38384,                 0.8754,              0.0009902,              0.0009902,              0.0009902
                     53,                0.86772,                0.47391,                 1.0486,                0.98895,                0.91755,                0.97405,                0.74836,                0.74683,                0.35858,                0.84762,              0.0009704,              0.0009704,              0.0009704
                     54,                0.87264,                0.47534,                 1.0539,                0.98902,                0.92403,                0.96774,                0.74159,                0.74498,                0.38995,                0.85159,              0.0009506,              0.0009506,              0.0009506
                     55,                0.85524,                0.45934,                 1.0398,                0.98262,                0.95385,                0.98044,                0.75313,                0.74746,                0.35332,                0.85788,              0.0009308,              0.0009308,              0.0009308
                     56,                0.85375,                0.45748,                 1.0405,                0.99458,                0.94026,                0.97739,                0.74292,                0.78981,                 0.3619,                0.87683,               0.000911,               0.000911,               0.000911
                     57,                0.85184,                0.46241,                 1.0382,                 0.9934,                0.92821,                0.97506,                 0.7285,                0.81672,                0.37394,                0.87423,              0.0008912,              0.0008912,              0.0008912
                     58,                0.83932,                0.45664,                  1.038,                0.98906,                 0.9274,                0.97696,                0.72942,                0.82912,                0.37861,                0.88768,              0.0008714,              0.0008714,              0.0008714
                     59,                0.83589,                0.45647,                 1.0366,                0.97537,                0.93333,                 0.9746,                0.73289,                0.78798,                0.36253,                0.87286,              0.0008516,              0.0008516,              0.0008516
                     60,                0.85359,                0.45867,                 1.0338,                0.97235,                0.94359,                 0.9752,                 0.7308,                0.79674,                0.36887,                0.87116,              0.0008318,              0.0008318,              0.0008318
                     61,                0.83293,                0.44589,                 1.0388,                0.98399,                0.94538,                 0.9744,                 0.7491,                0.76715,                0.36908,                0.86441,               0.000812,               0.000812,               0.000812
                     62,                0.83933,                0.45514,                 1.0325,                0.98328,                0.92821,                0.97143,                0.74456,                0.75918,                0.37045,                0.86003,              0.0007922,              0.0007922,              0.0007922
                     63,                0.82047,                0.44122,                 1.0293,                0.98218,                0.93333,                0.97312,                0.74695,                0.76631,                0.34893,                0.86969,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.8188,                0.44256,                 1.0283,                0.98204,                0.93333,                0.97557,                 0.7399,                0.76527,                0.37167,                0.87525,              0.0007526,              0.0007526,              0.0007526
                     65,                0.79727,                0.42787,                 1.0192,                0.99452,                0.93137,                0.97702,                0.74763,                0.77208,                0.36338,                0.88185,              0.0007328,              0.0007328,              0.0007328
                     66,                0.80974,                0.43657,                 1.0204,                0.97853,                0.95385,                0.97831,                0.74294,                  0.776,                0.34887,                0.87664,               0.000713,               0.000713,               0.000713
                     67,                0.82711,                0.44291,                 1.0353,                0.97777,                0.92308,                0.97943,                0.75048,                0.75265,                0.35712,                0.85758,              0.0006932,              0.0006932,              0.0006932
                     68,                0.81677,                0.44105,                 1.0321,                0.98387,                0.93813,                0.97746,                0.75418,                0.76026,                0.35012,                0.86469,              0.0006734,              0.0006734,              0.0006734
